Project Name,Package Name,Architecture Smell,Cause of the Smell
sitewhere-3.0.0-fc6441d,com.sitewhere.batch,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BatchManagementTriggers]; [BatchOperationManager; BatchOperationTypes]; [BatchOperationManager.BatchOperationCreator]; [BatchOperationManager.BatchOperationInitializer]; [BatchOperationManager.BatchElementProcessor]; [BatchOperationManager.ProcessorsThreadFactory]; [BatchOperationsApplication]. LCC (Lack of Component Cohesion) = 0.88
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.configuration,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sitewhere.batch.configuration; com.sitewhere.batch.configuration.manager
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.configuration.manager,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sitewhere.batch.configuration.manager; com.sitewhere.batch.configuration
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.configuration.manager,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sitewhere.batch.configuration; com.sitewhere.batch
sitewhere-3.0.0-fc6441d,com.sitewhere.batch.persistence,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sitewhere.batch
sitewhere-3.0.0-fc6441d,com.sitewhere.commands,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CommandDeliveryApplication]; [DefaultCommandExecutionBuilder]; [DefaultCommandProcessingStrategy; NestedDeviceSupport]; [DefaultCommandTargetResolver]; [NestedDeviceSupport.NestedDeviceInformation]; [NullParameters; NullParameters.Extractor]. LCC (Lack of Component Cohesion) = 0.75
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sitewhere.commands.configuration; com.sitewhere.commands.configuration.router
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sitewhere.commands.configuration; com.sitewhere.commands.configuration.destinations; com.sitewhere.commands.manager
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sitewhere.commands.configuration.router
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration.destinations,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sitewhere.commands.configuration.destinations; com.sitewhere.commands.configuration.extractors
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration.destinations,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sitewhere.commands.configuration.destinations; com.sitewhere.commands.manager; com.sitewhere.commands.configuration
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration.destinations,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sitewhere.commands.configuration; com.sitewhere.commands.manager
sitewhere-3.0.0-fc6441d,com.sitewhere.commands.configuration.extractors,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sitewhere.commands.configuration.extractors; com.sitewhere.commands.configuration.destinations
